Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Jack Roslovic,WPG,1,8.4,0,0,0,0,0.02,0,0,0,0
Jack Skille,VAN,55,483.95,5,4,0,9,6.42,9,14,0.4,1.11581767
Jacob De La Rose,MTL,9,98.17,0,0,0,0,0.44,0,4,-0.2,0
Jacob Josefson,N.J,38,465.4,1,3,6,10,4.71,9,7,0.1,1.28921354
Jacob Larsson,ANA,4,65.72,0,0,0,0,0.12,1,0,-0.2,0
Jacob Trouba,WPG,60,1496.6,8,10,15,33,9.16,62,36,1.7,1.32299876
Jaden Schwartz,STL,78,1474.7,19,24,12,55,23.69,29,59,2.6,2.23774338
Jake Dotchin,T.B,35,645.02,0,3,8,11,2.05,23,4,0.2,1.023224
Jake Gardiner,TOR,82,1765.75,9,14,20,43,6.58,79,44,2.2,1.46113551
Jake Guentzel,PIT,40,635.43,16,14,3,33,10.63,9,16,1.4,3.11600018
Jake McCabe,BUF,76,1573.58,3,10,7,20,4.01,46,29,0.9,0.7625923
Jake Muzzin,L.A,82,1828.13,9,9,10,28,9.03,70,15,1,0.918971837
Jake Virtanen,VAN,10,101.45,0,0,1,1,0.77,0,4,-0.2,0.591424346
