Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Christian Jaros,OTT,61,1,5,6,25,2.02,18,39,15,876.4,0,0.41077134
Kurtis Gabriel,N.J,22,2,2,4,66.67,0.5,33,4,2,162.2,-0.2,1.47965479
Sidney Crosby,PIT,79,19,42,61,74.39,17.68,22,47,45,1658.3,5.2,2.20707941
Jonathan Huberdeau,FLA,82,16,31,47,81.03,13.57,20,61,37,1546,2.6,1.82406211
Brock Nelson,NYI,82,19,17,36,78.26,13.26,20,38,45,1473.7,0.7,1.4656986
Ryan Nugent-Hopkins,EDM,82,15,19,34,70.83,12.85,20,37,39,1648.4,1.7,1.23756373
Viktor Arvidsson,NSH,58,25,9,34,70.83,12.59,20,31,34,1110.4,1,1.83717573
Jonathan Drouin,MTL,81,11,22,33,66,9.14,22,40,45,1371.4,0.1,1.44378006
Jesperi Kotkaniemi,MTL,79,10,19,29,78.38,8.59,20,37,30,1085.6,0.9,1.60280037
Michael Frolik,CGY,65,12,15,27,61.36,9.36,20,45,32,868.5,0.6,1.86528492
Kevin Fiala,"MIN, NSH",83,10,17,27,72.97,13.31,22,50,41,335,-0.9,4.83582067
Tyler Bozak,STL,72,9,17,26,74.29,9.66,20,17,25,1177.1,0.7,1.325291
Casey Cizikas,NYI,73,15,10,25,78.13,9.63,20,26,32,1023.7,1.6,1.465273
Bobby Ryan,OTT,78,7,17,24,61.54,8.94,20,38,43,1223.2,0.4,1.17724
J.T. Miller,T.B,75,9,15,24,54.55,7.36,22,27,41,1099.9,2.4,1.30921
Mathieu Joseph,T.B,70,13,11,24,66.67,6.7,20,22,23,795.1,1,1.811093
Patrick Marleau,TOR,82,11,11,22,44,11.78,20,20,28,1340.2,0.2,0.984927654
TJ Brodie,CGY,79,4,18,22,32.35,4.1,20,84,59,N/A,N/A,N/A
Jordan Staal,CAR,50,9,12,21,80.77,10.44,20,21,32,914.2,0.5,1.37825418
Matt Calvert,COL,82,9,12,21,60,9.91,25,17,31,1163.7,0.6,1.0827533
Mattias Janmark,DAL,81,6,15,21,80.77,8.68,20,34,28,1232.5,0.2,1.0223124
Chris Wagner,BOS,76,10,6,16,57.14,11.91,25,19,18,1022.4,0.2,0.9389671
Brendan Perlini,"ARI, CHI",68,11,5,16,69.57,9.27,22,13,11,301.2,0,3.18725085
Derick Brassard,"COL, FLA, PIT",70,9,5,14,58.33,6.9,35,22,32,299.9,-0.6,2.8009336
James Neal,CGY,63,5,8,13,50,7.94,22,25,11,942.4,-0.7,0.827674031
Barclay Goodrow,S.J,82,6,7,13,50,6.43,40,15,28,902.7,0.3,0.8640744
Brett Seney,N.J,51,5,7,12,75,4.22,20,17,17,526.7,0.1,1.367002
Mark Pysyk,FLA,70,1,8,9,19.57,2.49,20,68,29,1278.8,0.2,0.422270864
Micheal Haley,"FLA, S.J",43,1,2,3,37.5,3.95,50,15,3,180.3,0,0.9983361
Brett Connolly,WSH,81,21,23,44,77.19,12.87,22,23,33,1079.7,1.5,2.44512367
Jakub Vrana,WSH,82,22,18,40,67.8,13.24,22,49,40,1151.3,2.3,2.0846
Ryan Dzingel,"CBJ, OTT",78,20,19,39,66.1,12.03,22,31,23,299.7,0,7.80780745
Nino Niederreiter,"CAR, MIN",82,17,18,35,67.31,15.05,22,31,49,658.4,1,3.1895504
Bo Horvat,VAN,82,15,18,33,66,13.59,27,30,24,1707.6,1.8,1.15952218
Paul Stastny,VGK,50,10,20,30,78.95,10.99,22,11,32,905.2,0.6,1.98851085
Max Pacioretty,VGK,66,16,13,29,80.56,12.18,22,32,37,1122.1,-0.9,1.550664
Nazem Kadri,TOR,73,11,18,29,78.38,11.56,37,37,37,1181.8,0.3,1.47233033
Jeff Petry,MTL,82,6,22,28,38.36,5.03,22,104,32,1894.6,0.7,0.886730731
Mike Hoffman,FLA,82,15,13,28,73.68,10.03,22,69,39,1462.7,0.7,1.14856088
Micheal Ferland,CAR,71,10,15,25,59.52,12.61,39,35,31,1000.7,1.3,1.49895072
Derek Ryan,CGY,81,10,14,24,70.59,7.25,22,46,44,1118.1,1.1,1.28789914
Jared McCann,"FLA, PIT",78,9,14,23,63.89,8.43,27,37,30,647.2,0.4,2.132262
Jordan Greenway,MIN,81,11,12,23,74.19,9.17,22,18,34,1103.9,0.1,1.25011325
David Savard,CBJ,82,7,15,22,31.88,5.77,22,35,14,1619,2.7,0.8153181
Jordan Martinook,CAR,82,12,9,21,55.26,16.42,22,28,41,1187.8,1.4,1.06078458
Charlie McAvoy,BOS,54,5,16,21,39.62,4.19,22,46,23,1197.3,2.4,1.05236781
Jake Gardiner,TOR,62,3,17,20,33.9,2.69,24,49,23,1315.3,2.4,0.9123393
Carl Hagelin,"L.A, PIT, WSH",58,5,14,19,55.88,8.38,22,17,26,308.7,0.5,3.69290566
Oscar Lindberg,"OTT, VGK",55,9,10,19,61.29,7.97,22,25,22,264.3,0.5,4.31328058
Nick Bjugstad,"FLA, PIT",64,11,8,19,65.52,11.91,22,32,31,463.9,0.1,2.45742631
Mike Green,DET,43,4,14,18,54.55,2.98,22,41,14,932.3,-0.2,1.15842545
Jesper Fast,NYR,66,8,10,18,60,10.21,22,21,21,1037.6,0.4,1.04086351
Brett Pesce,CAR,73,6,12,18,31.03,3.67,22,25,47,1495.8,2.7,0.722021639
Sean Kuraly,BOS,71,5,12,17,73.91,7.19,27,29,32,978,-0.3,1.04294479
Travis Hamonic,CGY,69,6,9,15,24.19,4.26,27,50,29,1439.7,1.6,0.625130236
Erik Cernak,T.B,58,4,11,15,28.3,3.52,32,19,6,1116.6,2.2,0.8060183
Marc Staal,NYR,79,3,10,13,28.26,3.1,22,57,22,1534.2,-1.6,0.5084083
