Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Leon Draisaitl,EDM,82,28,31,59,79.73,13.02,32,84,53,1852.4,3.9,1.91103435
Mikael Backlund,CGY,77,16,21,37,64.91,15.04,34,46,64,1377.7,0.9,1.61138129
Ryan Hartman,"NSH, PHI",83,11,13,24,53.33,10.84,34,36,33,860,0.7,1.67441857
Zack Smith,OTT,70,7,15,22,70.97,8.42,42,43,34,1144.7,-0.4,1.15314066
Justin Faulk,CAR,82,4,17,21,36.21,5.82,32,47,34,1838.8,0,0.6852295
Adrian Kempe,L.A,81,10,11,21,72.41,6.66,42,19,15,1174.5,0.1,1.072797
Miles Wood,N.J,63,8,12,20,71.43,10.54,54,25,19,862.7,0.6,1.39098179
Tony DeAngelo,NYR,61,4,14,18,36,3.31,42,68,16,N/A,N/A,N/A
Adam Larsson,EDM,82,3,14,17,37.78,3.63,32,62,23,1773.1,-1.3,0.5752637
Jay Bouwmeester,STL,78,3,12,15,35.71,3.22,32,40,22,1617,-2.1,0.556586266
Jeff Carter,L.A,76,7,8,15,51.72,10.58,32,30,19,1380,-1.3,0.652173936
Cedric Paquette,T.B,80,11,4,15,50,8.25,37,11,15,960.3,-0.1,0.937207162
Zdeno Chara,BOS,62,4,6,10,19.61,3.36,42,33,24,1306.8,1.2,0.4591368
Brad Marchand,BOS,79,18,30,48,78.69,13.47,39,63,43,1550.3,3.2,1.85770488
Mikko Rantanen,COL,74,11,31,42,72.41,9.97,34,29,32,1542.3,2,1.63392329
Blake Wheeler,WPG,82,13,27,40,71.43,11.82,39,15,32,1698.2,0.5,1.41326118
Erik Gustafsson,CHI,79,9,26,35,47.95,5.06,34,69,27,N/A,N/A,N/A
Anders Lee,NYI,82,15,16,31,57.41,15.15,36,24,21,1401.2,1.6,1.32743371
Boone Jenner,CBJ,77,12,19,31,64.58,12.15,34,17,31,1314,0.7,1.41552508
Tom Wilson,WSH,63,15,14,29,60.42,10.52,84,36,33,1143,0.9,1.52230966
Darnell Nurse,EDM,82,8,19,27,42.86,6.8,39,57,26,1953.3,0.9,0.8293657
Mathieu Perreault,WPG,82,11,12,23,67.65,7.21,34,14,30,1003,0.7,1.37587237
Victor Hedman,T.B,70,8,13,21,35.59,6.99,34,31,23,1593.9,3.2,0.7905138
Brenden Dillon,S.J,82,0,21,21,31.82,2.71,39,35,14,1454.2,1.4,0.8664558
Tyler Myers,WPG,80,7,12,19,35.85,5.81,34,55,27,1627.7,-0.8,0.7003748
Lucas Wallmark,CAR,81,7,10,17,58.62,12.24,34,25,25,1198,-0.8,0.851419032
Brent Seabrook,CHI,78,3,12,15,32.61,5.18,39,55,16,1489.6,-1.7,0.604189038
Matt Grzelcyk,BOS,66,1,7,8,21.62,3.11,59,32,23,1262.7,0.2,0.3801378
Brandon Carlo,BOS,72,2,5,7,14.89,4.11,34,37,33,1506.4,1.6,0.2788104
Mathew Barzal,NYI,82,14,25,39,82.98,12.43,36,97,56,1469.7,1.3,1.59216177
Brady Tkachuk,OTT,71,17,15,32,68.09,16.6,43,31,21,1137.8,1.4,1.687467
Brandon Montour,"ANA, BUF",82,6,18,24,45.28,6.78,36,61,24,1405.4,-1.1,1.02461934
Oliver Ekman-Larsson,ARI,81,5,13,18,38.3,5.54,38,45,23,1914.6,-0.5,0.5640865
P.K. Subban,NSH,63,6,11,17,36.17,3.43,36,51,17,1427.8,-0.1,0.714385748
Hampus Lindholm,ANA,76,1,15,16,29.09,3.82,36,62,17,1823.6,1.3,0.526431262
Niklas Kronwall,DET,79,2,12,14,30.43,1.98,36,52,10,1576.4,-0.6,0.5328597
Dustin Byfuglien,WPG,42,2,9,11,37.93,3.65,41,32,15,1023.1,0.8,0.645098269
Brendan Smith,NYR,63,4,7,11,50,4.74,46,45,28,963.6,-0.9,0.6849315
Max Domi,MTL,82,22,31,53,79.1,13.31,53,59,41,1425.3,2,2.23110914
Evgeny Kuznetsov,WSH,76,8,35,43,71.67,10.05,38,45,41,1428.1,0.5,1.80659616
Dylan Larkin,DET,76,16,25,41,80.39,16.1,38,82,53,1660,1.4,1.48192775
Mark Giordano,CGY,78,10,30,40,50.63,5.61,38,46,54,1890.7,3.2,1.26937115
David Perron,STL,57,14,15,29,80.56,7.15,38,12,36,974.4,0.9,1.78571427
Jake Muzzin,"L.A, TOR",80,8,21,29,45.31,4.37,43,86,16,1076.1,0.8,1.61695015
Antoine Roussel,VAN,65,8,20,28,80,8.07,40,14,18,894.3,1.3,1.87856424
Jacob Trouba,WPG,82,3,20,23,33.82,5.55,38,70,38,1876,1.5,0.7356077
Sam Bennett,CGY,71,9,12,21,61.76,10.4,43,31,25,943.6,0.6,1.33531165
Nick Ritchie,ANA,60,6,15,21,61.76,7.41,58,28,17,900.1,1.2,1.39984453
Ben Chiarot,WPG,78,4,14,18,40.91,3.58,38,52,19,1452.1,0.4,0.743750453
Brayden McNabb,VGK,81,3,11,14,22.95,2.63,38,34,30,1577.8,-0.1,0.532386839
Andrei Svechnikov,CAR,82,13,11,24,64.86,16.32,40,55,32,1201,-0.4,1.19900084
Vincent Trocheck,FLA,55,5,11,16,55.17,7.72,40,41,43,1081.3,0.2,0.8878202
Josh Manson,ANA,74,3,11,14,31.82,3.5,50,61,22,1650.7,-0.1,0.508875
Ian Cole,COL,71,1,11,12,31.58,2.9,65,37,22,1402.7,-1.1,0.5132958
Alexander Edler,VAN,56,4,8,12,34.29,2.55,42,23,7,N/A,N/A,N/A
Alexander Radulov,DAL,70,17,22,39,65,13.71,44,53,39,N/A,N/A,N/A
Pierre-Luc Dubois,CBJ,82,20,24,44,57.89,14.97,46,42,43,1452.7,2.9,1.8173058
Evgeni Malkin,PIT,68,11,29,40,90.91,11.52,71,66,55,1278.7,1.4,1.87690628
Blake Coleman,N.J,78,13,12,25,60.98,14.46,48,32,33,1327,1,1.13036931
Michal Kempny,WSH,71,6,16,22,31.43,3.38,48,43,19,1362.3,0.8,0.968949556
Nikita Zadorov,COL,70,7,7,14,29.79,3.56,63,30,17,1204.3,1,0.6975006
Joel Edmundson,STL,64,2,8,10,22.73,3.37,53,33,7,1240.8,-0.2,0.483558983
Evander Kane,S.J,75,21,18,39,63.93,18.51,73,34,40,1380.8,2,1.69466972
