Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Martin Necas,CAR,64,11,13,24,85.71,6.33,18,30,22
Quinn Hughes,VAN,68,4,20,24,41.38,2.71,12,45,28
Zach Parise,MIN,69,9,14,23,60.53,11.12,2,22,13
Brent Burns,S.J,70,7,16,23,40.35,5.94,22,59,37
Kris Letang,PIT,61,6,17,23,38.98,5.19,24,56,24
Patric Hornqvist,PIT,52,13,10,23,79.31,10.2,17,5,12
Ian Cole,COL,65,4,19,23,47.92,3.6,28,28,15
Gustav Nyquist,CBJ,70,4,19,23,62.16,7.11,12,32,21
Tyler Johnson,T.B,65,12,11,23,62.16,9.34,14,16,11
Tyler Bozak,STL,67,10,13,23,76.67,6.8,8,18,25
Ryan Ellis,NSH,49,3,20,23,38.98,2.61,8,30,14
Mattias Ekholm,NSH,68,7,16,23,41.07,5.18,14,40,36
Jack Roslovic,WPG,71,10,13,23,62.16,8.15,8,37,23
Jake DeBrusk,BOS,65,12,11,23,76.67,10.47,10,20,23
Derek Ryan,CGY,68,8,15,23,76.67,7.4,6,22,25
Alex Nylander,CHI,65,10,13,23,74.19,6.49,8,23,24
Joe Thornton,S.J,70,4,18,22,68.75,5.23,12,23,51
Carl Soderberg,ARI,70,9,13,22,70.97,9.96,12,18,24
Paul Stastny,VGK,71,10,12,22,59.46,13.33,12,15,32
Nick Foligno,CBJ,67,8,14,22,61.11,9.67,31,23,31
Nicklas Backstrom,WSH,61,5,17,22,51.16,6.72,10,29,30
Richard Panik,WSH,59,9,13,22,64.71,5.04,18,28,19
Ryan Johansen,NSH,68,10,12,22,61.11,8.25,19,18,26
Jean-Gabriel Pageau,"NYI, OTT",67,15,7,22,61.11,9.7,15,23,21
Gabriel Landeskog,COL,54,10,12,22,59.46,10.39,31,19,34
Jonas Brodin,MIN,69,2,20,22,37.93,2.92,18,14,10
Kevin Labanc,S.J,70,11,11,22,68.75,12.2,28,23,31
Adam Fox,NYR,70,6,16,22,34.92,5.42,24,48,51
Kailer Yamamoto,EDM,27,7,15,22,73.33,5.06,6,8,18
